电影名,评分,卡司,海报
哪吒闹海,9.1,"梁正晖,邱岳峰,毕克",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg
我是山姆,8.9,"西恩·潘,达科塔·范宁,米歇尔·菲佛",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg
疯狂原始人,8.7,"尼古拉斯·凯奇,艾玛·斯通,瑞恩·雷诺兹",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg
纵横四海,8.8,"周润发,张国荣,钟楚红",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2272146906.jpg
三块广告牌,8.7,"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg
头号玩家,8.7,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
心迷宫,8.7,"霍卫民,王笑天,罗芸",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg
萤火虫之墓,8.7,"辰己努,白石绫乃,志乃原良子",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1157334208.jpg
真爱至上,8.6,"休·格兰特,科林·费尔斯,艾玛·汤普森",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg
达拉斯买家俱乐部,8.8,"马修·麦康纳,詹妮弗·加纳,杰瑞德·莱托",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg
釜山行,8.5,"孔侑,郑有美,马东锡",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
荒蛮故事,8.8,"达里奥·格兰迪内蒂,玛丽娅·玛努尔,莫妮卡·比利亚",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg
东邪西毒,8.6,"张国荣,林青霞,梁朝伟",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg
贫民窟的百万富翁,8.6,"戴夫·帕特尔,沙鲁巴·舒克拉,亚尼·卡普",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg
记忆碎片,8.6,"盖·皮尔斯,凯瑞-安·莫斯,乔·潘托里亚诺",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg
爆裂鼓手,8.7,"迈尔斯·特勒,J·K·西蒙斯,保罗·雷瑟",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg
黑天鹅,8.6,"娜塔莉·波特曼,米拉·库尼斯,文森特·卡索",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg
你的名字。,8.4,"神木隆之介,上白石萌音,长泽雅美",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg
花样年华,8.6,"梁朝伟,张曼玉,潘迪华",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg
卢旺达饭店,8.9,"唐·钱德尔,苏菲·奥康内多,华金·菲尼克斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg
忠犬八公物语,9.2,"山本圭,井川比佐志,片桐入",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg
哈利·波特与阿兹卡班的囚徒,8.6,"丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg
头脑特工队,8.7,"艾米·波勒,菲利丝·史密斯,理查德·坎德",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg
黑客帝国3：矩阵革命,8.7,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg
模仿游戏,8.7,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg
